Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,
,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,
,,,,,,,,,,,,
"Алфавитный список ГОРОДОВ, названия которых не совпадают с названиями станций",,,,,,,,,,,,
,,,,,,,,,,,,
№ п/п,Город,Регион,ж.д. Станция,Дорога,,,,,,,,
   59.,Бейлаган,Азербайджан,551906  Дашбурун - 20 км,55  Азерб,,,,,,,,
   60.,Белая Криница (пгт),"Житомирская обл., Украина",321508  Тетерев - 11 км,32  Ю-Зап (У),,,,,,,,
   61.,Белики (пгт),"Полтавская обл., Украина",447301  Лещиновка - 0 км,43  Южн (У),,,,,,,,
   62.,Белинский,"Пензенская обл., Россия",633300  Белинская - 55 км,63  Кбш (Р),,,,,,,,
   63.,Белицкое,"Донецкая обл., Украина",493009  Мерцалово - 4 км,48  Дон (У),,,,,,,,
   64.,Белогорск,"Республика Крым, Украина",473908  Симферополь - 43 км,45  Придн (У),,,,,,,,
   65.,Белогорск,"Кемеровская обл., Россия",884906  Кия-Шалтырь - 0 км,88  Крас (Р),,,,,,,,
   66.,Белогорье (пгт),"Хмельницкая обл., Украина",340301  Суховолье - 0 км,32  Ю-Зап (У),,,,,,,,
   67.,Белоярский (пгт),"Свердловская обл., Россия",793503  Баженово - 0 км,76  Сверд (Р),,,,,,,,
   68.,Белоярский (пгт),"Тюменская обл., Россия",779409  Приобье - 249 км,76  Сверд (Р),,,,,,,,
   69.,Белый Яр (п),"Красноярский край, Россия",881005  Зерцалы - 2 км,88  Крас (Р),,,,,,,,
   70.,Береза,"Брестская обл., Белоруссия",133700  Береза Картузская - 6 км,13  Бел,,,,,,,,
   71.,Березино (пгт),"Ровенская обл., Украина",357001  Малынск - 20 км,35  Льв (У),,,,,,,,
   72.,Березна (пгт),"Черниговская обл., Украина",325000  Чернигов - 36 км,32  Ю-Зап (У),,,,,,,,
   73.,Березово (пгт),"Тюменская обл., Россия",779409  Приобье - 222 км,76  Сверд (Р),,,,,,,,
   74.,Березовский,"Свердловская обл., Россия",780506  Екатеринбург-Пассажирский -,76  Сверд (Р),,,,,,,,
,,, 18 км,,,,,,,,,
   75.,Березовский,"Кемеровская обл., Россия",871802  Забойщик - 0 км,83  З-Сиб (Р),,,,,,,,
   76.,Березовский,"Свердловская обл., Россия",785005  Березит - 6 км,76  Сверд (Р),,,,,,,,
   77.,Берестечко,"Волынская обл., Украина",357302  Горохов - 25 км,35  Льв (У),,,,,,,,
   78.,Берислав,"Херсонская обл., Украина",416163  Казацкая - 12 км,40  Од (У),,,,,,,,
   79.,Беруни,"Республика Каракалпакстан,",738305  Ургенч - 20 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
   80.,Бешарык,"Ферганская обл.,",740305  Рапкан - 1 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
   81.,Бирск,"Республика Башкортостан,",655206  Загородняя - 80 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
   82.,Бируинца (пгт),Республика Молдова,395408  Алексэндрень - 0 км,39  Млд,,,,,,,,
   83.,Бисерть (пгт),"Свердловская обл., Россия",259504  Бисертский Завод - 2 км,24  Горьк (Р),,,,,,,,
   84.,Благовещенск,"Республика Башкортостан,",655206  Загородняя - 18 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
   85.,Бобрка (пгт),"Львовская обл., Украина",378900  Глебовичи - 7 км,35  Льв (У),,,,,,,,
   86.,Бобровица,"Черниговская обл., Украина",323607  Бобровицы - 0 км,32  Ю-Зап (У),,,,,,,,
   87.,Бобровский (пгт),"Свердловская обл., Россия",794409  Арамиль - 4 км,76  Сверд (Р),,,,,,,,
   88.,Бобруйск,"Могилевская обл.,",147703  Березина - 0 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
   89.,Богандинский (пгт),"Тюменская обл., Россия",790709  Богандинская - 0 км,76  Сверд (Р),,,,,,,,
   90.,Богдановка (с),"Кировоградская обл.,",411102  Чернолесская - 0 км,40  Од (У),,,,,,,,
,,Украина,,,,,,,,,,
   91.,Богородицк,"Тульская обл., Россия",224609  Жданка - 1 км,17  Моск (Р),,,,,,,,
   92.,Богородск,"Нижегородская обл., Россия",269309  Кожевенное - 0 км,24  Горьк (Р),,,,,,,,
   93.,Богучар,"Воронежская обл., Россия",586006  Кантемировка - 60 км,58  Ю-Вост (Р),,,,,,,,
   94.,Бокситогорск,"Ленинградская обл., Россия",047401  Большой Двор - 17 км,01  Окт (Р),,,,,,,,
   95.,Болохово,"Тульская обл., Россия",211903  Присады - 5 км,17  Моск (Р),,,,,,,,
   96.,Болхов,"Орловская обл., Россия",215506  Мценск - 50 км,17  Моск (Р),,,,,,,,
   97.,Большой Исток,"Свердловская обл., Россия",794305  Кольцово - 4 км,76  Сверд (Р),,,,,,,,
   98.,Бор,"Нижегородская обл., Россия",265007  Моховые Горы - 0 км,24  Горьк (Р),,,,,,,,
   99.,Борзна,"Черниговская обл., Украина",326304  Дочь - 14 км,32  Ю-Зап (У),,,,,,,,
  100.,Боровая (пгт),"Киевская обл., Украина",321103  Мотовиловка - 0 км,32  Ю-Зап (У),,,,,,,,
  101.,Боровая (пгт),"Харьковская обл., Украина",431303  Преддонбассовская - 2 км,43  Южн (У),,,,,,,,
  102.,Боровск,"Калужская обл., Россия",183606  Балабаново - 15 км,17  Моск (Р),,,,,,,,
  103.,Боровск,"Пермская обл., Россия",769604  Соликамск - 8 км,76  Сверд (Р),,,,,,,,
  104.,Боровский (пгт),"Тюменская обл., Россия",790501  Озеро-Андреевское - 2 км,76  Сверд (Р),,,,,,,,
  105.,Браслав,"Витебская обл., Белоруссия",164605  Друя - 30 км,13  Бел,,,,,,,,
  106.,Брацлав (пгт),"Винницкая обл., Украина",336306  Каролина - 15 км,32  Ю-Зап (У),,,,,,,,
  107.,Бродецкое,"Винницкая обл., Украина",342701  Казатин I - 16 км,32  Ю-Зап (У),,,,,,,,
  108.,Броницкая Гута (пгт),"Житомирская обл., Украина",348002  Новоград-Волынский I - 58 км,32  Ю-Зап (У),,,,,,,,
  109.,Брусилов (пгт),"Житомирская обл., Украина",344904  Скочище - 29 км,32  Ю-Зап (У),,,,,,,,
  110.,Буджак (пгт),Республика Молдова,397300  Комрат - 2 км,39  Млд,,,,,,,,
  111.,Буинск,"Республика Татарстан,",249409  Буа - 0 км,24  Горьк (Р),,,,,,,,
,,Россия,,,,,,,,,,
  112.,Бурынь,"Сумская обл., Украина",329209  Путивль - 0 км,32  Ю-Зап (У),,,,,,,,
  113.,Буск,"Львовская обл., Украина",379809  Красне - 5 км,35  Льв (У),,,,,,,,
  114.,Быковка (пгт),"Житомирская обл., Украина",348106  Курное - 21 км,32  Ю-Зап (У),,,,,,,,
  115.,Бытков (пгт),"Ивано-Франковская обл.,",386907  Надворная - 5 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  116.,Вадул-Луй-Водэ (пгт),Республика Молдова,391207  Кишинэу - 23 км,39  Млд,,,,,,,,
  117.,Важины (п),"Ленинградская обл., Россия",049407  Свирь - 3 км,01  Окт (Р),,,,,,,,
  118.,Валаам (пгт),"Республика Карелия, Россия",023708  Сортавала - 40 км,01  Окт (Р),,,,,,,,
  119.,Валерьяновск (пгт),"Свердловская обл., Россия",773008  Качканар - 10 км,76  Сверд (Р),,,,,,,,
  120.,Валки,"Харьковская обл., Украина",449307  Ковяги - 10 км,43  Южн (У),,,,,,,,
  121.,Васильевка,"Запорожская обл., Украина",461900  Таврическ - 0 км,45  Придн (У),,,,,,,,
  122.,Васищево (пгт),"Харьковская обл., Украина",431002  Терновое - 3 км,43  Южн (У),,,,,,,,
  123.,Ватутино,"Черкасская обл., Украина",421602  Богачево - 0 км,40  Од (У),,,,,,,,
  124.,Введенка (пгт),"Харьковская обл., Украина",430936  Мохнач - 1 км,43  Южн (У),,,,,,,,
  125.,Велиж,"Смоленская обл., Россия",171902  Рудня - 93 км,17  Моск (Р),,,,,,,,
  126.,Великая Багачка (пгт),"Полтавская обл., Украина",447903  Гоголево - 0 км,43  Южн (У),,,,,,,,
  127.,Великие Коровинцы (пгт),"Житомирская обл., Украина",342203  Михайленки - 2 км,32  Ю-Зап (У),,,,,,,,
  128.,Великий Бурлук (пгт),"Харьковская обл., Украина",433205  Бурлук - 0 км,43  Южн (У),,,,,,,,
  129.,Великий Новгород,"Новгородская обл., Россия",040101  Великий Новгород - 0 км,01  Окт (Р),,,,,,,,
  130.,Верея,"Московская обл., Россия",183004  Дорохово - 27 км,17  Моск (Р),,,,,,,,
  131.,Вертиевка (пгт),"Черниговская обл., Украина",325424  Вертеевка - 0 км,32  Ю-Зап (У),,,,,,,,
  132.,Верхнеднепровск,"Днепропетровская обл.,",456300  Верхнеднепровск - 13 км,45  Придн (У),,,,,,,,
,,Украина,,,,,,,,,,
  133.,Верхнее,"Луганская обл., Украина",498201  Переездная - 0 км,48  Дон (У),,,,,,,,
  134.,Верхнее Дуброво (пгт),"Свердловская обл., Россия",794004  Косулино - 0 км,76  Сверд (Р),,,,,,,,
  135.,Верхнеуральск,"Челябинская обл., Россия",817600  Магнитогорск-Грузовой - 60 км,80  Ю-Ур (Р),,,,,,,,
  136.,Верхнечусовские Городки,"Пермская обл., Россия",765800  Уралнефть - 0 км,76  Сверд (Р),,,,,,,,
,(пгт),,,,,,,,,,,
  137.,Верхние Серги (пгт),"Свердловская обл., Россия",782401  Атиг - 10 км,76  Сверд (Р),,,,,,,,
  138.,Верхний Тагил,"Свердловская обл., Россия",771002  Верхнетагильская - 3 км,76  Сверд (Р),,,,,,,,
  139.,Верхняя Пышма,"Свердловская обл., Россия",780506  Екатеринбург-Пассажирский -,76  Сверд (Р),,,,,,,,
,,, 13 км,,,,,,,,,
  140.,Верхняя Синячиха (пгт),"Свердловская обл., Россия",786703  Синячиха - 5 км,76  Сверд (Р),,,,,,,,
  141.,Верхняя Сысерть (пгт),"Свердловская обл., Россия",780506  Екатеринбург-Пассажирский -,76  Сверд (Р),,,,,,,,
,,, 56 км,,,,,,,,,
  142.,Верхняя Тура,"Свердловская обл., Россия",773309  Верхняя - 3 км,76  Сверд (Р),,,,,,,,
  143.,Верховына (пгт),"Ивано-Франковская обл.,",386502  Ворохта - 31 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  144.,Верхотурье,"Свердловская обл., Россия",774000  Верхотурье - 6 км,76  Сверд (Р),,,,,,,,
  145.,Веселовка (пгт),"Свердловская обл., Россия",775304  Карпинск - 8 км,76  Сверд (Р),,,,,,,,
  146.,Видное,"Московская обл., Россия",193307  Бирюлево-Товарная - 5 км,17  Моск (Р),,,,,,,,
  147.,Вилково,"Одесская обл., Украина",404306  Дзинилор - 63 км,40  Од (У),,,,,,,,
  148.,Вильнюс,Литовская Республика,120700  Киртимай - 0 км,12  Лит,,,,,,,,
  149.,Вильнюс,Литовская Республика,120804  Паняряй - 0 км,12  Лит,,,,,,,,
  150.,Вильнюс,Литовская Республика,120402  Науйойи-Вильня - 0 км,12  Лит,,,,,,,,
  151.,Виноградов,"Закарпатская обл., Украина",384403  Виноградово-Закарпатское - 0,35  Льв (У),,,,,,,,
,,, км,,,,,,,,,
  152.,Виньковцы,"Хмельницкая обл., Украина",333308  Дунаевцы - 40 км,32  Ю-Зап (У),,,,,,,,
  153.,Висим (пгт),"Свердловская обл., Россия",770103  Нижний Тагил - 53 км,76  Сверд (Р),,,,,,,,
  154.,Висимо-Уткинск (пгт),"Свердловская обл., Россия",770103  Нижний Тагил - 61 км,76  Сверд (Р),,,,,,,,
  155.,Вишневка (пгт),Республика Молдова,397206  Яргора - 12 км,39  Млд,,,,,,,,
  156.,Вишневое,"Киевская обл., Украина",321404  Вишневое - 0 км,32  Ю-Зап (У),,,,,,,,
  157.,Владимирец (пгт),"Ровенская обл., Украина",355203  Антоновка - 18 км,35  Льв (У),,,,,,,,
  158.,Вознесенское (с),"Черкасская обл., Украина",424704  Пальмира - 0 км,40  Од (У),,,,,,,,
  159.,Волгар,"Республика Татарстан,",646009  Чердаклы - 71 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  160.,Волгодонск,"Ростовская обл., Россия",519707  Волгодонская - 0 км,51  С-Кав (Р),,,,,,,,
  161.,Волковинцы (пгт),"Хмельницкая обл., Украина",331105  Комаровцы - 0 км,32  Ю-Зап (У),,,,,,,,
  162.,Володарка (пгт),"Киевская обл., Украина",343808  Белая Церковь - 40 км,32  Ю-Зап (У),,,,,,,,
  163.,Володарск,"Нижегородская обл., Россия",264502  Сейма - 0 км,24  Горьк (Р),,,,,,,,
  164.,Володарск-Волын-ский (пгт),"Житомирская обл., Украина",346007  Новая Боровая - 22 км,32  Ю-Зап (У),,,,,,,,
  165.,Волхов,"Ленинградская обл., Россия",040008  Волховстрой I - 0 км,01  Окт (Р),,,,,,,,
  166.,Волчанск,"Свердловская обл., Россия",775605  Лесная Волчанка - 0 км,76  Сверд (Р),,,,,,,,
  167.,Воронеж (пгт),"Сумская обл., Украина",328102  Терещенская - 2 км,32  Ю-Зап (У),,,,,,,,
  168.,Воскресенское (пгт),"Николаевская обл., Украина",415008  Гороховка - 2 км,40  Од (У),,,,,,,,
  169.,Восточный (пгт),"Свердловская обл., Россия",787301  Предтурье - 1 км,76  Сверд (Р),,,,,,,,
  170.,Выкса,"Нижегородская обл., Россия",243607  Навашино - 29 км,24  Горьк (Р),,,,,,,,
  171.,Высокогорное,"Запорожская обл., Украина",465302  Канцеровка - 1 км,45  Придн (У),,,,,,,,
  172.,Высокое,"Брестская обл., Белоруссия",131705  Высоко-Литовск - 3 км,13  Бел,,,,,,,,
  173.,Вычегорский,"Архангельская обл., Россия",280007  Сольвычегодск - 0 км,28  Сев (Р),,,,,,,,
  174.,Вышгород,"Киевская обл., Украина",320308  Киев-Пассажирский - 18 км,32  Ю-Зап (У),,,,,,,,
  175.,Гагарин,"Джизакская обл.,",725502  Ирджарская - 0 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  176.,Гари (пгт),"Свердловская обл., Россия",776400  Сосьва - 53 км,76  Сверд (Р),,,,,,,,
  177.,Гвардейское (пгт),"Республика Крым, Украина",474101  Остряково - 0 км,45  Придн (У),,,,,,,,
  178.,Геленджик,"Краснодарский край, Россия",520901  Новороссийск - 43 км,51  С-Кав (Р),,,,,,,,
  179.,Геокчай,Азербайджан,554908  Уджары - 18 км,55  Азерб,,,,,,,,
  180.,Герца,"Черновицкая обл., Украина",367107  Новоселица - 8 км,35  Льв (У),,,,,,,,
  181.,Гигант (пгт),"Ростовская обл., Россия",517701  Трубецкая - 0 км,51  С-Кав (Р),,,,,,,,
  182.,Голая Пристань,"Херсонская обл., Украина",418807  Раденское - 43 км,40  Од (У),,,,,,,,
  183.,Головино,"Житомирская обл., Украина",345803  Горбаши - 15 км,32  Ю-Зап (У),,,,,,,,
  184.,Головно (пгт),"Волынская обл., Украина",352101  Любомль - 12 км,35  Льв (У),,,,,,,,
  185.,Горки,"Могилевская обл.,",158500  Погодино - 3 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  186.,Горно-Алтайск,"Алтайский край, Россия",843200  Бийск - 96 км,83  З-Сиб (Р),,,,,,,,
  187.,Горнозаводск,"Пермская обл., Россия",767007  Пашия - 0 км,76  Сверд (Р),,,,,,,,
  188.,Горноуральский (пгт),"Свердловская обл., Россия",770258  Лая - 4 км,76  Сверд (Р),,,,,,,,
  189.,Горняк,"Алтайский край, Россия",711707  Неверовская - 4 км,68  Кзх,,,,,,,,
  190.,Горняк (пгт),"Рязанская обл., Россия",603201  Милославское - 7 км,58  Ю-Вост (Р),,,,,,,,
  191.,Горняцкий (пгт),"Ростовская обл., Россия",587808  Грачи - 18 км,51  С-Кав (Р),,,,,,,,
  192.,Городец,"Нижегородская обл., Россия",262009  Заволжье - 14 км,24  Горьк (Р),,,,,,,,
  193.,Городище,"Пензенская обл., Россия",634604  Чаадаевка - 21 км,63  Кбш (Р),,,,,,,,
  194.,Городница (пгт),"Житомирская обл., Украина",348002  Новоград-Волынский I - 45 км,32  Ю-Зап (У),,,,,,,,
  195.,Городок,"Хмельницкая обл., Украина",333609  Виктория - 0 км,32  Ю-Зап (У),,,,,,,,
  196.,Городок,"Львовская обл., Украина",374609  Городок-Львовский - 0 км,35  Льв (У),,,,,,,,
  197.,Городское,"Луганская обл., Украина",497508  Шипилово (рзд) - 4 км,48  Дон (У),,,,,,,,
  198.,Гостомель (пгт),"Киевская обл., Украина",322106  Буча - 6 км,32  Ю-Зап (У),,,,,,,,
  199.,Готвальд,"Харьковская обл., Украина",444303  Змиев - 0 км,43  Южн (У),,,,,,,,
  200.,Гоща (пгт),"Ровенская обл., Украина",356600  Ровно - 33 км,35  Льв (У),,,,,,,,
  201.,Градижск (пгт),"Полтавская обл., Украина",427609  Глобино - 0 км,43  Южн (У),,,,,,,,
  202.,Грайворон,"Белгородская обл., Россия",436203  Хотмыжск - 15 км,58  Ю-Вост (Р),,,,,,,,
  203.,Гребенки (пгт),"Киевская обл., Украина",197420  Устиновка - 12 км,17  Моск (Р),,,,,,,,
  204.,Гремячинск,"Пермская обл., Россия",767609  Баская - 5 км,76  Сверд (Р),,,,,,,,
  205.,Григориполь (пгт),Республика Молдова,390103  Тираспол - 45 км,39  Млд,,,,,,,,
  206.,Грицев (пгт),"Хмельницкая обл., Украина",334300  Четырбоки - 20 км,32  Ю-Зап (У),,,,,,,,
  207.,Гришковцы (пгт),"Житомирская обл., Украина",342400  Бердичев - 8 км,32  Ю-Зап (У),,,,,,,,
  208.,Грязи,"Липецкая обл., Россия",591907  Грязи-Воронежские - 0 км,58  Ю-Вост (Р),,,,,,,,
  209.,Гуйва (пгт),"Житомирская обл., Украина",345606  Житомир - 9 км,32  Ю-Зап (У),,,,,,,,
  210.,Гусиноозерск,"Республика Бурятия, Россия",936208  Загустай - 6 км,92  В-Сиб (Р),,,,,,,,
  211.,Давид-Городок,"Брестская обл., Белоруссия",151944  Лахва - 0 км,13  Бел,,,,,,,,
  212.,Двуреченск (пгт),"Свердловская обл., Россия",794606  Колюткино - 8 км,76  Сверд (Р),,,,,,,,
  213.,Дегтярск,"Свердловская обл., Россия",781409  Ревда - 17 км,76  Сверд (Р),,,,,,,,
  214.,Дейнау (пгт),"Чарджевская обл.,",757306  Дянев - 3 км,75  Трк,,,,,,,,
,,Туркменистан,,,,,,,,,,
  215.,Демидов,"Смоленская обл., Россия",171902  Рудня - 47 км,17  Моск (Р),,,,,,,,
  216.,Демидовка (пгт),"Ровенская обл., Украина",350708  Рудня-Почаювская - 32 км,35  Льв (У),,,,,,,,
  217.,Дергачи (пгт),"Саратовская обл., Россия",628209  Алтата - 0 км,61  Прив (Р),,,,,,,,
  218.,Державинск,"Тургайская обл., Казахстан",681003  Державинская - 0 км,68  Кзх,,,,,,,,
  219.,Десна (пгт),"Черниговская обл., Украина",323401  Бобрик - 55 км,32  Ю-Зап (У),,,,,,,,
  220.,Десногорск,"Смоленская обл., Россия",178006  Аселье - 27 км,17  Моск (Р),,,,,,,,
  221.,Дзержинск,"Донецкая обл., Украина",490903  Фенольная - 7 км,48  Дон (У),,,,,,,,
  222.,Дзержинск,"Минская обл., Белоруссия",144508  Койданово - 0 км,13  Бел,,,,,,,,
  223.,Дзержинск,"Донецкая обл., Украина",491003  Кривой Торец - 6 км,48  Дон (У),,,,,,,,
  224.,Дзержинск (пгт),"Житомирская обл., Украина",342006  Разино - 12 км,32  Ю-Зап (У),,,,,,,,
  225.,Диброва (пгт),"Житомирская обл., Украина",349109  Дуброва-Олевская - 0 км,32  Ю-Зап (У),,,,,,,,
  226.,Дисна,"Витебская обл., Белоруссия",161908  Борковичи - 12 км,13  Бел,,,,,,,,
  227.,Дманиси (пгт),Республика Грузия,564401  Казрети - 25 км,57  Грз,,,,,,,,
  228.,Дмитриевка (пгт),"Черниговская обл., Украина",426004  Рубанка - 0 км,43  Южн (У),,,,,,,,
  229.,Дмитриевка (пгт),"Тамбовская обл., Россия",601102  Никифоровка - 0 км,58  Ю-Вост (Р),,,,,,,,
  230.,Дмитровск-Орловский,"Орловская обл., Россия",204709  Комаричи - 32 км,17  Моск (Р),,,,,,,,
  231.,Днепродзержинск,"Днепропетровская обл.,",455901  Тритузная - 0 км,45  Придн (У),,,,,,,,
,,Украина,,,,,,,,,,
  232.,Днепрорудное,"Запорожская обл., Украина",476802  Каховское Море - 3 км,45  Придн (У),,,,,,,,
